prvenstvo,zmagovalec 
Yannick Dalmas,Keke Rosberg
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Harry Gant
Firestone Indy Lights Championship,Brian Till
Deutsche Tourenwagen Meisterschaft,Frank Biela
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
F1 World Championship,Nigel Mansell
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
British F3000 Championship,Fredrik Ekblom
Winston Cup,Harry Gant
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Harry Gant
British F3000 Championship,Fredrik Ekblom
F1 World Championship,Ayrton Senna
CART/PPG Indycar World Series,Al Unser jr
Firestone Indy Lights Championship,PJ Jones
IMSA Camel GT Championship,Davy Jones
World Motorcycle Championship,Wayne Rainey
FIA International F3000 Championship,Emanuele Naspetti
Winston Cup,Alan Kulwicki
FIA International F3000 Championship,Emanuele Naspetti
David Brabham,Derek Warwick
Winston Cup,Dale Jarrett
World Motorcycle Championship,Wayne Rainey
Non-championship,David Coulthard
F1 World Championship,Ayrton Senna
Winston Cup,Ernie Irvan
British F3000 Championship,Dave Coyne
CART/PPG Indycar World Series,Rick Mears
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Steve Soper
British F3000 Championship,Dave Coyne
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
F1 World Championship,Nigel Mansell
Winston Cup,Dale Earnhardt
IMSA Camel GT Championship,Juan Manuel Fangio II
FIA International F3000 Championship,Emanuele Naspetti
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,PJ Jones
IMSA Camel GT Championship,Davy Jones
World Motorcycle Championship,Wayne Rainey
British F3000 Championship,Paul Warwick
F1 World Championship,Nigel Mansell
CART/PPG Indycar World Series,Bobby Rahal
Firestone Indy Lights Championship,Eric Bachelart
F1 World Championship,Nigel Mansell
FIA International F3000 Championship,Emanuele Naspetti
CART/PPG Indycar World Series,Michael Andretti
Firestone Indy Lights Championship,Mark Smith
Winston Cup,Bill Elliott
IMSA Camel GT Championship,Juan Manuel Fangio II
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
British F3000 Championship,Paul Warwick
World Motorcycle Championship,Kevin Schwantz
FIA International F3000 Championship,Alessandro Zanardi
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Davey Allison
Firestone Indy Lights Championship,Eric Bachelart
Johnny Herbert,Volker Weidler
F1 World Championship,Riccardo Patrese
CART/PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Darrell Waltrip
Firestone Indy Lights Championship,Eric Bachelart
IMSA Camel GT Championship,Wayne Taylor
World Motorcycle Championship,Wayne Rainey
FIA International F3000 Championship,Christian Fittipaldi
Winston Cup,Davey Allison
World Motorcycle Championship,Mick Doohan
Deutsche Tourenwagen Meisterschaft,Joachim Winkelhock
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
F1 World Championship,Nelson Piquet
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Ken Schrader
Firestone Indy Lights Championship,Robbie Groff
IMSA Camel GT Championship,Davy Jones
IMSA Camel GT Championship,Chip Robinson
CART/PPG Indycar World Series,Rick Mears
Winston Cup,Davey Allison
World Motorcycle Championship,Kevin Schwantz
FIA International F3000 Championship,Jean-Marc Gounon
Teo Fabi,Derek Warwick
World Motorcycle Championship,Mick Doohan
F1 World Championship,Ayrton Senna
World Motorcycle Championship,Mick Doohan
British F3000 Championship,Paul Warwick
Winston Cup,Harry Gant
Martin Brundle,Derek Warwick
IMSA Camel GT Championship,Chip Robinson
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Deutsche Tourenwagen Meisterschaft,Frank Biela
F1 World Championship,Ayrton Senna
Winston Cup,Dale Earnhardt
IMSA Camel GT Championship,Davy Jones
British F3000 Championship,Paul Warwick
CART/PPG Indycar World Series,Arie Luyendyk
Winston Cup,Darrell Waltrip
Firestone Indy Lights Championship,Robbie Groff
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
FIA International F3000 Championship,Alessandro Zanardi
Philippe Alliot,Mauro Baldi
CART/PPG Indycar World Series,Al Unser jr
Winston Cup,Rusty Wallace
Firestone Indy Lights Championship,Eric Bachelart
Deutsche Tourenwagen Meisterschaft,Steve Soper
Deutsche Tourenwagen Meisterschaft,Steve Soper
Winston Cup,Ricky Rudd
IMSA Camel GT Championship,Raul Boesel
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
British F3000 Championship,Paul Warwick
F1 World Championship,Ayrton Senna
World Motorcycle Championship,Kevin Schwantz
CART/PPG Indycar World Series,John Andretti
Winston Cup,Ken Schrader
Geoff Brabham,Derek Daly
F1 World Championship,Ayrton Senna
Winston Cup,Kyle Petty
IMSA Camel GT Championship,Davy Jones
Winston Cup,Dale Earnhardt
Winston Cup,Ernie Irvan
&quot;John Winter&quot;,Bob Wollek
Non-championship,Michael Schumacher
Non-championship,Michael Schumacher
Winston Cup,Morgan Shepherd
IMSA Camel GT Championship,Juan Manuel Fangio II
F1 World Championship,Nelson Piquet
Winston Cup,Dale Earnhardt
F1 World Championship,Nelson Piquet
CART/PPG Indycar World Series,Danny Sullivan
Winston Cup,Alan Kulwicki
HFC American Racing Series,Ted Prappas
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
British F3000 Championship,Pedro Chaves
FIA International F3000 Championship,Eric van de Poele
Jochen Mass,Michael Schumacher
CART/PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Davey Allison
HFC American Racing Series,Robbie Groff
F1 World Championship,Alain Prost
Winston Cup,Mark Martin
IMSA Camel GT Championship,James Weaver
British F3000 Championship,Pedro Chaves
F1 World Championship,Nigel Mansell
FIA International F3000 Championship,Erik Comas
Mauro Baldi,Jean-Louis Schlesser
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Geoff Bodine
HFC American Racing Series,Paul Tracy
European F3 Cup,Alessandro Zanardi
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Bill Elliott
HFC American Racing Series,Paul Tracy
World Motorcycle Championship,Wayne Gardner
F1 World Championship,Ayrton Senna
Winston Cup,Dale Earnhardt
British F3000 Championship,Pedro Chaves
Deutsche Tourenwagen Meisterschaft,Emanuele Pirro
Deutsche Tourenwagen Meisterschaft,Walter Rohrl
Mauro Baldi,Jean-Louis Schlesser
CART/PPG Indycar World Series,Al Unser jr
Winston Cup,Dale Earnhardt
HFC American Racing Series,Vinicio Salmi
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Mick Doohan
FIA International F3000 Championship,Eric van de Poele
F1 World Championship,Ayrton Senna
CART/PPG Indycar World Series,Al Unser jr
HFC American Racing Series,Mark Rodrigues
World Motorcycle Championship,Wayne Rainey
Winston Cup,Ernie Irvan
FIA International F3000 Championship,Allan McNish
Mauro Baldi,Jean-Louis Schlesser
Winston Cup,Mark Martin
IMSA Camel GT Championship,Geoff Brabham
Winston Cup,Ricky Rudd
British F3000 Championship,Richard Dean
World Motorcycle Championship,Wayne Rainey
F1 World Championship,Thierry Boutsen
CART/PPG Indycar World Series,Al Unser jr
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Joachim Winkelhock
F1 World Championship,Ayrton Senna
Winston Cup,Dale Earnhardt
IMSA Camel GT Championship,Davy Jones
FIA International F3000 Championship,Eddie Irvine
FIA International F3000 Championship,Gianni Morbidelli
Mauro Baldi,Jean-Louis Schlesser
CART/PPG Indycar World Series,Al Unser jr
Winston Cup,Geoff Bodine
HFC American Racing Series,Paul Tracy
World Motorcycle Championship,Kevin Schwantz
F1 World Championship,Alain Prost
CART/PPG Indycar World Series,Michael Andretti
HFC American Racing Series,Paul Tracy
IMSA Camel GT Championship,Juan Manuel Fangio II
F1 World Championship,Alain Prost
CART/PPG Indycar World Series,Danny Sullivan
HFC American Racing Series,Paul Tracy
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Wayne Rainey
Bob Earl,Chip Robinson
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Deutsche Tourenwagen Meisterschaft,Roberto Ravaglia
British F3000 Championship,Marco Greco
World Motorcycle Championship,Kevin Schwantz
F1 World Championship,Alain Prost
FIA International F3000 Championship,Erik Comas
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Dale Earnhardt
HFC American Racing Series,Paul Tracy
FIA International F3000 Championship,Erik Comas
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Harry Gant
HFC American Racing Series,Tommy Byrne
World Motorcycle Championship,Wayne Rainey
Price Cobb,John Nielsen
Deutsche Tourenwagen Meisterschaft,Jacques Laffite
Deutsche Tourenwagen Meisterschaft,Frank Biela
F1 World Championship,Ayrton Senna
Winston Cup,Rusty Wallace
World Motorcycle Championship,Kevin Schwantz
FIA International F3000 Championship,Eric van de Poele
Jochen Mass,Karl Wendlinger
CART/PPG Indycar World Series,Al Unser jr
Winston Cup,Derrike Cope
HFC American Racing Series,Paul Tracy
Geoff Brabham,Derek Daly
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Price Cobb,John Nielsen
British F3000 Championship,Pedro Chaves
F1 World Championship,Ayrton Senna
CART/PPG Indycar World Series,Arie Luyendyk
Winston Cup,Rusty Wallace
World Motorcycle Championship,Kevin Schwantz
Martin Brundle,Alain Ferte
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
FIA International F3000 Championship,Allan McNish
F1 World Championship,Riccardo Patrese
British F3000 Championship,Alain Menu
Winston Cup,Dale Earnhardt
IMSA Camel GT Championship,Juan Manuel Fangio II
World Motorcycle Championship,Wayne Gardner
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Deutsche Tourenwagen Meisterschaft,Hans-Joachim Stuck
Mauro Baldi,Jean-Louis Schlesser
Winston Cup,Geoff Bodine
FIA International F3000 Championship,Erik Comas
CART/PPG Indycar World Series,Al Unser jr
Winston Cup,Brett Bodine
HFC American Racing Series,Paul Tracy
Geoff Brabham,Derek Daly
Deutsche Tourenwagen Meisterschaft,Steve Soper
Deutsche Tourenwagen Meisterschaft,Steve Soper
British F3000 Championship,Pedro Chaves
British F3000 Championship,Alain Menu
Mauro Baldi,Jean-Louis Schlesser
CART/PPG Indycar World Series,Rick Mears
Winston Cup,Davey Allison
HFC American Racing Series,Paul Tracy
World Motorcycle Championship,Wayne Rainey
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
Winston Cup,Dale Earnhardt
Geoff Brabham,Derek Daly
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
British F3000 Championship,Rickard Rydell
F1 World Championship,Alain Prost
World Motorcycle Championship,Wayne Rainey
Winston Cup,Dale Earnhardt
Derek Daly,Bob Earl
F1 World Championship,Ayrton Senna
Winston Cup,Kyle Petty
Winston Cup,Mark Martin
Bob Earl,Chip Robinson
Winston Cup,Derrike Cope
Jan Lammers,Andy Wallace
Non-championship,David Brabham
Winston Cup,Dale Earnhardt
F1 World Championship,Thierry Boutsen
Winston Cup,Bill Elliott
Jochen Mass,Jean-Louis Schlesser
F1 World Championship,Alessandro Nannini
FIA International F3000 Championship,Erik Comas
Winston Cup,Mark Martin
IMSA Camel GT Championship,Jan Lammers
CART/PPG Indycar World Series,Rick Mears
Winston Cup,Geoff Bodine
HFC American Racing Series,Johnny O&#039;Connell
European F3 Cup,Gianni Morbidelli
Winston Cup,Ken Schrader
F1 World Championship,Ayrton Senna
IMSA Camel GT Championship,Price Cobb
F1 World Championship,Gerhard Berger
FIA International F3000 Championship,Erik Comas
CART/PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Darrell Waltrip
HFC American Racing Series,Michael Groff
Kenny Acheson,Mauro Baldi
Winston Cup,Dale Earnhardt
World Motorcycle Championship,Kevin Schwantz
FIA International F3000 Championship,Jean Alesi
Deutsche Tourenwagen Meisterschaft,Klaus Niedzwiedz
Deutsche Tourenwagen Meisterschaft,Klaus Niedzwiedz
F1 World Championship,Alain Prost
CART/PPG Indycar World Series,Danny Sullivan
Winston Cup,Rusty Wallace
HFC American Racing Series,Tommy Byrne
IMSA Camel GT Championship,Geoff Brabham
British F3000 Championship,Gary Brabham
Jochen Mass,Jean-Louis Schlesser
CART/PPG Indycar World Series,Teo Fabi
Winston Cup,Dale Earnhardt
HFC American Racing Series,PJ Jones
IMSA Camel GT Championship,Chip Robinson
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
FIA International F3000 Championship,Jean Alesi
F1 World Championship,Ayrton Senna
World Motorcycle Championship,Kevin Schwantz
Winston Cup,Darrell Waltrip
FIA International F3000 Championship,Martin Donnelly
Jochen Mass,Jean-Louis Schlesser
CART/PPG Indycar World Series,Danny Sullivan
Winston Cup,Rusty Wallace
HFC American Racing Series,Tommy Byrne
F1 World Championship,Nigel Mansell
Winston Cup,Rusty Wallace
IMSA Camel GT Championship,Geoff Brabham
British F3000 Championship,Paulo Carcasci
World Motorcycle Championship,Eddie Lawson
CART/PPG Indycar World Series,Michael Andretti
World Motorcycle Championship,Kevin Schwantz
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
Deutsche Tourenwagen Meisterschaft,Klaus Ludwig
F1 World Championship,Ayrton Senna
Winston Cup,Terry Labonte
Price Cobb,Jan Lammers
British F3000 Championship,Gary Brabham
FIA International F3000 Championship,Andrea Chiesa
Kenny Acheson,Mauro Baldi
CART/PPG Indycar World Series,Michael Andretti
Winston Cup,Bill Elliott
HFC American Racing Series,Gary Rubio
F1 World Championship,Alain Prost
CART/PPG Indycar World Series,Bobby Rahal
HFC American Racing Series,Michael Groff
Geoff Brabham,Chip Robinson
World Motorcycle Championship,Eddie Lawson
F1 World Championship,Alain Prost
CART/PPG Indycar World Series,Emerson Fittipaldi
Geoff Brabham,Chip Robinson
World Motorcycle Championship,Eddie Lawson
Deutsche Tourenwagen Meisterschaft,Johnny Cecotto
Deutsche Tourenwagen Meisterschaft,Klaus Niedzwiedz
British F3000 Championship,Andrew Gilbert-Scott
Winston Cup,Davey Allison
Deutsche Tourenwagen Meisterschaft,Kurt Thiim
Deutsche Tourenwagen Meisterschaft,Alain Ferte
Jochen Mass,Jean-Louis Schlesser
CART/PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Bill Elliott
HFC American Racing Series,Tommy Byrne
British F3000 Championship,Gary Brabham
World Motorcycle Championship,Wayne Rainey
F1 World Championship,Thierry Boutsen
CART/PPG Indycar World Series,Emerson Fittipaldi
Winston Cup,Terry Labonte
HFC American Racing Series,Ted Prappas
Deutsche Tourenwagen Meisterschaft,Alain Ferte
Deutsche Tourenwagen Meisterschaft,Alain Ferte
Winston Cup,Ricky Rudd
World Motorcycle Championship,Kevin Schwantz
Jochen Mass,Manuel Reuter
F1 World Championship,Alain Prost
FIA International F3000 Championship,Eric Bernard
CART/PPG Indycar World Series,Rick Mears
Winston Cup,Dale Earnhardt
HFC American Racing Series,Michael Groff
Geoff Brabham,Chip Robinson
World Motorcycle Championship,Kevin Schwantz
IMSA Camel GT Championship,Geoff Brabham
British F3000 Championship,Roland Ratzenberger
F1 World Championship,Ayrton Senna
CART/PPG Indycar World Series,Emerson Fittipaldi
